restaurant_id,name,cuisine_primary,cuisine_tags,address_full,area,city,country,phone,rating_overall,rating_google,rating_tripadvisor,review_count_total,review_count_google,review_count_tripadvisor,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,star_5_percent,star_4_percent,star_3_percent,star_2_percent,star_1_percent,price_category,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,delivery_available,outdoor_seating,reservation_required,cash_only,credit_cards_accepted,wifi_available,wheelchair_accessible,takeaway_available,parking_available,live_music,pet_friendly,kids_friendly,menu_items,menu_link,website,data_source,source_url,scraped_date,last_updated
src2_001,100 Hala - ١٠٠ هلا,Pizza,Pizza,"Armenia Street, Near Bank of Beirut, Bourj Hammoud, Mount Lebanon Governorate, Lebanon",Bourj Hammoud,Mount Lebanon Governorate,Lebanon,+96115699150,,,,4,0,0,3,0,1,0,0,75.0,0.0,25.0,0.0,0.0,Budget,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/100-Hala-100-hla-Bourj-Hammoud,2026-07-03,2026-07-03
src2_002,101 Gourmet,Fast food,Fast food,"VFVR+RP6, Beirut, Beirut Governorate, Lebanon",Beirut,Beirut Governorate,Lebanon,+96113797920,1.7,1.7,,30,0,0,12,9,6,0,3,40.0,30.0,20.0,0.0,10.0,Budget,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,TRUE,TRUE,Unknown,Unknown,TRUE,,,,source2,https://t.restaurantguru.com/101-Gourmet-Beirut,2026-07-03,2026-07-03
src2_003,11:11 Cofeeshop,Unknown,Unknown,"Naqabet Al-Ateba St, Tripoli, North Governorate, Lebanon",Tripoli,North Governorate,Lebanon,+961791555560,4.9,4.9,,30,0,0,23,5,1,0,1,76.66666666666667,16.666666666666664,3.3333333333333335,0.0,3.3333333333333335,Mid-Range,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,TRUE,TRUE,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/1111-Make-a-wish-Tripoli-North,2026-07-03,2026-07-03
src2_004,Salle 1188 pour les conférences,French,French,"St. John Street, Byblos, Mount Lebanon Governorate, Lebanon",Byblos,Mount Lebanon Governorate,Lebanon,+961700011880,2.0,2.0,,30,0,0,9,14,4,3,0,30.0,46.666666666666664,13.333333333333334,10.0,0.0,High-End,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/1188-Byblos,2026-07-03,2026-07-03
src2_005,1188,French,"French,European,Vegetarian options","Saint John Street, Byblos, Mount Lebanon Governorate, Lebanon",Byblos,Mount Lebanon Governorate,Lebanon,+961706669990,1.8,1.8,,11,0,0,7,0,0,0,0,100.0,0.0,0.0,0.0,0.0,High-End,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/1188-Byblos-2,2026-07-03,2026-07-03
src2_006,16MM,Dessert,"Dessert,Salads","Gouraud, Beirut, Beirut Governorate, Lebanon",Beirut,Beirut Governorate,Lebanon,+961814407600,4.5,4.5,,30,0,0,22,3,0,1,4,73.33333333333333,10.0,0.0,3.3333333333333335,13.333333333333334,High-End,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,TRUE,TRUE,TRUE,Unknown,Unknown,TRUE,Unknown,TRUE,Unknown,TRUE,Unknown,,,,source2,https://t.restaurantguru.com/16-MM-Beirut,2026-07-03,2026-07-03
src2_007,19 Restaurant-khalde,Mediterranean,"Mediterranean,Vegetarian options","QFMG+RGC, Khalde, Mount Lebanon Governorate, Lebanon",Khalde,Mount Lebanon Governorate,Lebanon,+96158078000,4.8,4.8,,30,0,0,19,3,4,0,4,63.33333333333333,10.0,13.333333333333334,0.0,13.333333333333334,Mid-Range,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,TRUE,Unknown,TRUE,Unknown,TRUE,TRUE,TRUE,Unknown,Unknown,TRUE,,,,source2,https://t.restaurantguru.com/19-Khalde,2026-07-03,2026-07-03
src2_008,19 Nineteen Restaurant,American,"American,Japanese,Lebanese,Mediterranean,Sushi","Centre 19, Khalde, Mount Lebanon Governorate, Lebanon",Khalde,Mount Lebanon Governorate,Lebanon,+96158078000,4.9,4.9,,30,0,0,20,2,4,1,3,66.66666666666666,6.666666666666667,13.333333333333334,3.3333333333333335,10.0,Mid-Range,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,TRUE,Unknown,Unknown,TRUE,TRUE,Unknown,TRUE,Unknown,TRUE,Unknown,TRUE,,,,source2,https://t.restaurantguru.com/19-Nineteen-Restaurant-Khalde,2026-07-03,2026-07-03
src2_010,2 friends snack by Shant & Armen,Unknown,Unknown,"Bourj hammoud, Beirut, Beirut Governorate, Lebanon, 0000",Beirut Governorate,Lebanon,0000,+961709556050,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Mid-Range,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/2-friends-snack-by-Shant-and-Armen-Beirut-2,2026-07-03,2026-07-03
src2_011,24 hours cafe,Unknown,Unknown,"Saida - Jezzine Rd, Sidon, South Governorate, Lebanon",Sidon,South Governorate,Lebanon,+961718008240,,,,17,0,0,12,3,1,0,1,70.58823529411765,17.647058823529413,5.88235294117647,0.0,5.88235294117647,Budget,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/24-Hours-Cafe-Sidon,2026-07-03,2026-07-03
src2_012,27 Cafe Pub,Pizza,Pizza,"Badaro, Beirut, Beirut Governorate, Lebanon, 1552",Beirut Governorate,Lebanon,1552,+96113822020,1.9,1.9,,30,0,0,13,13,3,0,1,43.333333333333336,43.333333333333336,10.0,0.0,3.3333333333333335,Budget,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,TRUE,Unknown,TRUE,TRUE,TRUE,TRUE,Unknown,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/27-Cafe-Pub-Beirut,2026-07-03,2026-07-03
src2_014,Karmesh Broast,American,"American,Fast food","حي البراد, Sidon, South Governorate, Lebanon",Sidon,South Governorate,Lebanon,+961788918900,1.6,1.6,,30,0,0,22,3,0,3,2,73.33333333333333,10.0,0.0,10.0,6.666666666666667,Budget,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,TRUE,TRUE,TRUE,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/2armesh-Broast-Sidon,2026-07-03,2026-07-03
src2_016,309rooftop,French,"French,Italian,Spanish,Salads","Bliss Street, Beirut, Beirut Governorate, Lebanon, 0096",Beirut Governorate,Lebanon,0096,+961789993090,1.2,1.2,,30,0,0,4,9,10,3,4,13.333333333333334,30.0,33.33333333333333,10.0,13.333333333333334,Mid-Range,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/309rooftop-Beirut-3,2026-07-03,2026-07-03
src2_017,3A Tari2ak _ Arguile Shop,Unknown,Unknown,"amchit, Byblos, Mount Lebanon Governorate, Lebanon, 1402",Mount Lebanon Governorate,Lebanon,1402,+961701721780,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Mid-Range,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source2,https://t.restaurantguru.com/3A-Tari2ak-Arguile-Shop-Byblos-5,2026-07-03,2026-07-03
