restaurant_id,name,cuisine_primary,cuisine_tags,address_full,area,city,country,phone,rating_overall,rating_google,rating_tripadvisor,review_count_total,review_count_google,review_count_tripadvisor,star_5_count,star_4_count,star_3_count,star_2_count,star_1_count,star_5_percent,star_4_percent,star_3_percent,star_2_percent,star_1_percent,price_category,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,delivery_available,outdoor_seating,reservation_required,cash_only,credit_cards_accepted,wifi_available,wheelchair_accessible,takeaway_available,parking_available,live_music,pet_friendly,kids_friendly,menu_items,menu_link,website,data_source,source_url,scraped_date,last_updated
src3_001,101 Gourmet,Unknown,Unknown,"Spears Street facing the Lebanese Red Cross, Beirut Lebanon",Spears Street facing the Lebanese Red Cross,Beirut,Lebanon,,4.7,,4.7,7,0,7,3,2,0,0,0,60.0,40.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,http://www.facebook.com/101gourmet,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d9849590-Reviews-101_Gourmet-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_002,1188 - Restaurant and Lounge Bar,Unknown,Unknown,"Saint John Street Jbeil Old City, Byblos Lebanon",Saint John Street Jbeil Old City,Byblos,Lebanon,,4.5,,4.5,65,0,65,4,1,0,0,0,80.0,20.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://www.eleven88.com,source3,https://www.tripadvisor.com/Restaurant_Review-g298264-d7022850-Reviews-1188_Restaurant_and_Lounge_Bar-Byblos_Mount_Lebanon_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_003,19 Nineteen Restaurant,Unknown,Unknown,"Route Khaldeh El Naameh, Beirut Lebanon",Route Khaldeh El Naameh,Beirut,Lebanon,,3.0,,3.0,4,0,4,0,2,1,0,1,0.0,50.0,25.0,0.0,25.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,https://www.facebook.com/19.nineteen.restaurant?rf=1561485837444519,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d12146494-Reviews-19_Nineteen_Restaurant-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_004,3ajineh,Unknown,Unknown,"Saida hlelieh near kassab hospital, Sidon Lebanon",Saida hlelieh near kassab hospital,Sidon,Lebanon,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g445051-d26454314-Reviews-3ajineh-Sidon_South_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_005,AL Faisal,Unknown,Unknown,"Al Kalamoun, Sea side road, Tripoli Lebanon",Al Kalamoun,Tripoli,Lebanon,,4.2,,4.2,18,0,18,2,3,0,0,0,40.0,60.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g295422-d927167-Reviews-AL_Faisal-Tripoli_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_006,Aand Shaker,Unknown,Unknown,"Faqra Main Road, Kfardebian Lebanon",Faqra Main Road,Keserwan,Lebanon,,3.0,,3.0,4,0,4,1,0,2,0,1,25.0,0.0,50.0,0.0,25.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g298268-d19100973-Reviews-Aand_Shaker-Kfardebian_Mount_Lebanon_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_007,Abdel Wahab,Unknown,Unknown,"Abdel Wahab El Inglizi Ashrafieh, Beirut Lebanon",Abdel Wahab El Inglizi Ashrafieh,Beirut,Lebanon,,4.3,,4.3,515,0,515,5,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,,,http://www.ghiaholding.com,source3,https://www.tripadvisor.com/Restaurant_Review-g294005-d799295-Reviews-Abdel_Wahab-Beirut.html?m=66827,2026-04-15,2026-04-15
src3_008,Abdul Rahman Hallab & Sons 1881,Unknown,Unknown,"Riad El Solh Str., Tripoli Lebanon",Riad El Solh Str.,Tripoli,Lebanon,,4.5,,4.5,390,0,390,4,0,2,0,4,40.0,0.0,20.0,0.0,40.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,http://www.hallab.com.lb/,source3,https://www.tripadvisor.com/Restaurant_Review-g295422-d3698421-Reviews-Abdul_Rahman_Hallab_Sons_1881-Tripoli_North_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_009,Abo Dany Restaurant,Unknown,Unknown,"Port, Tyre, Tyre Lebanon",Port,Tyre,Lebanon,,5.0,,5.0,14,0,14,10,0,0,0,0,100.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://www.facebook.com/Abodanyfish/,source3,https://www.tripadvisor.com/Restaurant_Review-g7892679-d16673909-Reviews-Abo_Dany_Restaurant-Tyre_South_Governorate.html?m=66827,2026-04-15,2026-04-15
src3_010,Abou Al Nawas,Unknown,Unknown,"El Mina Street, Tripoli Lebanon",El Mina Street,Tripoli,Lebanon,,4.2,,4.2,11,0,11,8,2,0,0,0,80.0,20.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,TRUE,Unknown,Unknown,Unknown,,,,source3,https://www.tripadvisor.com/Restaurant_Review-g295422-d927168-Reviews-Abou_Al_Nawas-Tripoli_North_Governorate.html?m=66827,2026-04-15,2026-04-15
