,American,Dessert,Fast food,French,Italian,Jewish,Levantine,Other,Pizza,Seafood
American,0.417,0.083,0.194,0.028,0.056,0.0,0.222,0.0,0.0,0.0
Dessert,0.026,0.949,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0
Fast food,0.375,0.0,0.438,0.0,0.0,0.0,0.188,0.0,0.0,0.0
French,0.143,0.0,0.0,0.643,0.0,0.0,0.214,0.0,0.0,0.0
Italian,0.05,0.1,0.0,0.05,0.4,0.0,0.25,0.05,0.05,0.05
Jewish,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0
Levantine,0.054,0.09,0.0,0.009,0.0,0.009,0.712,0.009,0.09,0.027
Other,0.222,0.222,0.0,0.111,0.222,0.0,0.0,0.222,0.0,0.0
Pizza,0.176,0.0,0.0,0.0,0.118,0.0,0.235,0.0,0.471,0.0
Seafood,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.6
