params,mean_test_score,std_test_score,rank_test_score,split0_test_score,split1_test_score,split2_test_score
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 400, 'clf__num_leaves': 127, 'tfidf__word__max_features': 30000}",0.5922102214343412,0.00505786256873421,1,0.5938866185719127,0.5853499609160103,0.5973940848151008
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 400, 'clf__num_leaves': 127, 'tfidf__word__max_features': 15000}",0.5922102214343412,0.00505786256873421,1,0.5938866185719127,0.5853499609160103,0.5973940848151008
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 400, 'clf__num_leaves': 63, 'tfidf__word__max_features': 30000}",0.5922102214343412,0.00505786256873421,1,0.5938866185719127,0.5853499609160103,0.5973940848151008
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 400, 'clf__num_leaves': 63, 'tfidf__word__max_features': 15000}",0.5922102214343412,0.00505786256873421,1,0.5938866185719127,0.5853499609160103,0.5973940848151008
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 200, 'clf__num_leaves': 63, 'tfidf__word__max_features': 30000}",0.5899052135987625,0.010560049976109119,5,0.5971678264398315,0.5749728972991314,0.5975749170573245
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 200, 'clf__num_leaves': 63, 'tfidf__word__max_features': 15000}",0.5899052135987625,0.010560049976109119,5,0.5971678264398315,0.5749728972991314,0.5975749170573245
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 200, 'clf__num_leaves': 127, 'tfidf__word__max_features': 30000}",0.5899052135987625,0.010560049976109119,5,0.5971678264398315,0.5749728972991314,0.5975749170573245
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 200, 'clf__num_leaves': 127, 'tfidf__word__max_features': 15000}",0.5899052135987625,0.010560049976109119,5,0.5971678264398315,0.5749728972991314,0.5975749170573245
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 400, 'clf__num_leaves': 31, 'tfidf__word__max_features': 30000}",0.589348927809186,0.007519602933180262,9,0.5911248602769222,0.5793806977954726,0.5975412253551632
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 400, 'clf__num_leaves': 31, 'tfidf__word__max_features': 15000}",0.589348927809186,0.007519602933180262,9,0.5911248602769222,0.5793806977954726,0.5975412253551632
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200, 'clf__num_leaves': 63, 'tfidf__word__max_features': 30000}",0.5893072439824111,0.0031151551266425143,11,0.5868126987144406,0.5874098035731912,0.5936992296596016
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200, 'clf__num_leaves': 63, 'tfidf__word__max_features': 15000}",0.5893072439824111,0.0031151551266425143,11,0.5868126987144406,0.5874098035731912,0.5936992296596016
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200, 'clf__num_leaves': 127, 'tfidf__word__max_features': 30000}",0.5893072439824111,0.0031151551266425143,11,0.5868126987144406,0.5874098035731912,0.5936992296596016
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200, 'clf__num_leaves': 127, 'tfidf__word__max_features': 15000}",0.5893072439824111,0.0031151551266425143,11,0.5868126987144406,0.5874098035731912,0.5936992296596016
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 400, 'clf__num_leaves': 63, 'tfidf__word__max_features': 15000}",0.5868178264498086,0.006863026364531422,15,0.5776741800081221,0.5942086909318709,0.5885706084094328
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 400, 'clf__num_leaves': 63, 'tfidf__word__max_features': 30000}",0.5868178264498086,0.006863026364531422,15,0.5776741800081221,0.5942086909318709,0.5885706084094328
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 400, 'clf__num_leaves': 127, 'tfidf__word__max_features': 15000}",0.5868178264498086,0.006863026364531422,15,0.5776741800081221,0.5942086909318709,0.5885706084094328
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 400, 'clf__num_leaves': 127, 'tfidf__word__max_features': 30000}",0.5868178264498086,0.006863026364531422,15,0.5776741800081221,0.5942086909318709,0.5885706084094328
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 200, 'clf__num_leaves': 31, 'tfidf__word__max_features': 15000}",0.5865174552262954,0.014344632305693343,19,0.5890942592691805,0.5678028437870897,0.6026552626226162
"{'clf__learning_rate': 0.05, 'clf__n_estimators': 200, 'clf__num_leaves': 31, 'tfidf__word__max_features': 30000}",0.5865174552262954,0.014344632305693343,19,0.5890942592691805,0.5678028437870897,0.6026552626226162
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200, 'clf__num_leaves': 31, 'tfidf__word__max_features': 15000}",0.5831007564174785,0.012599565439639634,21,0.5727817539934418,0.5756800264857067,0.6008404887732869
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200, 'clf__num_leaves': 31, 'tfidf__word__max_features': 30000}",0.5831007564174785,0.012599565439639634,21,0.5727817539934418,0.5756800264857067,0.6008404887732869
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 400, 'clf__num_leaves': 31, 'tfidf__word__max_features': 30000}",0.5813865858485768,0.008775689167758737,23,0.5767587701740546,0.573727702094931,0.5936732852767447
"{'clf__learning_rate': 0.1, 'clf__n_estimators': 400, 'clf__num_leaves': 31, 'tfidf__word__max_features': 15000}",0.5813865858485768,0.008775689167758737,23,0.5767587701740546,0.573727702094931,0.5936732852767447
