area,avg_sentiment,review_count,pct_positive,pct_negative
Mar Mikhael,0.432,10,100.0,0.0
Beqaa Governorate,0.385,90,82.222,4.444
Halat,0.38,330,77.576,4.848
Gouraud,0.371,10,100.0,0.0
Pasteur,0.339,10,90.0,0.0
Tyre,0.336,1001,70.33,5.594
Beirut Governorate,0.335,893,76.26,7.055
Aamchit,0.319,30,63.333,6.667
Forn El Chebbak,0.313,346,71.965,7.225
Sidon,0.31,1704,64.613,7.16
Zahlé,0.308,1277,64.526,6.735
Bar Elias,0.302,142,69.014,5.634
Beirut,0.296,10137,69.044,8.553
Fanar,0.295,90,66.667,14.444
Palladium Building,0.291,10,70.0,0.0
Mount Lebanon Governorate,0.29,743,69.717,10.767
Byblos,0.282,2189,66.469,9.639
Bourj Hammoud,0.267,6111,70.005,10.538
Tripoli,0.267,1636,59.535,7.274
North Governorate,0.254,128,53.125,6.25
Hazmiyeh,0.251,1542,65.24,11.025
Borj El Brajneh,0.236,77,51.948,7.792
Khalde,0.231,984,59.451,12.602
South Governorate,0.215,129,55.039,20.93
Dekwaneh,0.192,60,55.0,13.333
Wadi El Aarayech,0.142,30,36.667,3.333
Jounieh,0.075,30,40.0,26.667
Mansourieh,-0.016,30,40.0,30.0
