area,avg_sentiment,review_count,pct_positive,pct_negative
Mar Mikhael,0.432,10,100.0,0.0
Chouaifet El Qoubbeh,0.418,30,73.333,6.667
Jnah,0.416,30,66.667,0.0
Gouraud,0.377,20,90.0,0.0
Aamchit,0.372,33,66.667,6.061
Pasteur,0.339,10,90.0,0.0
Beqaa Governorate,0.337,101,70.297,5.941
Tyre,0.328,1183,62.553,4.987
Mount Lebanon Governorate,0.327,467,71.306,8.137
Halat,0.317,122,67.213,6.557
Beirut Governorate,0.312,635,71.181,8.189
Beirut,0.307,9590,68.342,7.57
Sidon,0.3,1817,60.319,6.439
Fanar,0.295,90,66.667,14.444
Borj El Brajneh,0.295,52,53.846,7.692
Byblos,0.294,1762,66.572,7.946
South Governorate,0.294,99,61.616,9.091
Forn El Chebbak,0.293,287,63.415,6.969
Palladium Building,0.291,10,70.0,0.0
Tripoli,0.284,2457,58.608,5.291
Bourj Hammoud,0.282,4408,70.372,9.347
Zahlé,0.278,1074,57.728,6.331
Hazmiyeh,0.275,1365,63.736,8.791
Bar Elias,0.269,212,56.132,1.887
Khalde,0.239,956,56.172,10.983
North Governorate,0.228,130,37.692,3.077
Saadnayel,0.214,14,35.714,0.0
Jounieh,0.075,30,40.0,26.667
Mansourieh,-0.016,30,40.0,30.0
