cuisine_primary,avg_sentiment,review_count,pct_positive,pct_negative
Greek,0.481,12,75.0,0.0
Brazilian,0.43,10,60.0,0.0
Vegan,0.417,20,75.0,0.0
Fusion,0.405,138,83.333,4.348
Armenian,0.393,182,76.374,2.747
Grill,0.393,22,72.727,4.545
Vegetarian,0.372,31,90.323,3.226
Cocktail bars,0.368,480,75.417,6.458
Jewish,0.368,624,74.519,3.045
Latin American,0.357,30,90.0,0.0
European,0.346,167,82.635,4.79
Sandwiches,0.345,48,66.667,8.333
Tunisian,0.34,30,60.0,3.333
Wine bars,0.339,80,76.25,2.5
German,0.328,30,80.0,0.0
Mediterranean,0.324,121,69.421,7.438
Middle Eastern,0.321,438,69.635,5.708
Italian,0.318,919,72.905,8.379
Korean,0.316,30,70.0,6.667
Seafood,0.312,624,65.224,5.288
Dessert,0.31,2228,72.576,7.54
French,0.31,802,70.449,8.105
Spanish,0.304,22,95.455,4.545
New American,0.283,19,52.632,0.0
Salads,0.282,146,72.603,10.959
Pizza,0.281,875,63.314,8.343
Lebanese,0.28,5834,65.718,8.845
Fast food,0.278,1023,65.298,8.211
Mexican,0.276,220,72.273,10.0
Delis,0.273,141,67.376,9.22
Asian,0.272,93,73.118,6.452
International,0.272,300,64.667,10.667
Barbecue,0.27,97,56.701,8.247
Steakhouses,0.265,21,57.143,0.0
Sushi,0.263,131,62.595,9.16
American,0.244,2491,63.709,12.967
Indian,0.23,36,72.222,11.111
Japanese,0.228,145,59.31,13.793
Iraqi,0.225,30,56.667,20.0
Chinese,0.209,201,60.199,15.423
Turkish,0.199,238,59.244,16.387
Healthy food,0.198,200,62.0,17.5
Yemeni,0.106,30,23.333,3.333
Cantonese,-0.035,30,30.0,40.0
